epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.42567,1.23118,8.60506,0.98456,0.00597,0.69231,0.1738,0.08294,1.89796,3.17172,1.59764,0.000651515,0.000651515,0.000651515
2,10.0804,1.46637,6.5133,1.12127,0.95221,0.10769,0.12531,0.06682,2.1962,3.25162,1.76571,0.00125293,0.00125293,0.00125293
3,13.4117,1.90076,5.94735,1.43362,0.00421,0.67692,0.07658,0.02888,2.53908,3.34556,2.07885,0.00178835,0.00178835,0.00178835
4,16.7527,2.23322,5.46178,1.60562,0.00278,0.55385,0.01227,0.00393,2.76801,3.76098,3.74758,0.001703,0.001703,0.001703
5,19.8836,2.02366,5.07144,1.58008,0.29602,0.03077,0.02726,0.00389,4.0453,4.77128,22.4361,0.001604,0.001604,0.001604
6,23.1318,2.04916,4.63926,1.66045,0.00505,0.2,0.00242,0.00069,3.61439,105.191,12.6321,0.001505,0.001505,0.001505
7,26.4294,1.96427,4.40589,1.50937,0.00205,0.38462,0.00169,0.00048,3.38536,3.80847,6.91082,0.001406,0.001406,0.001406
8,29.8126,2.05729,4.14093,1.62667,0.01743,0.61538,0.14897,0.07745,2.72143,3.39559,2.65386,0.001307,0.001307,0.001307
9,32.8866,1.82722,4.01972,1.40553,0.07021,0.56923,0.22358,0.08478,2.50441,3.62678,2.44684,0.001208,0.001208,0.001208
10,35.9812,2.00183,4.13739,1.55728,0.12385,0.41538,0.17706,0.06681,2.42832,3.83113,2.27026,0.001109,0.001109,0.001109
11,40.0026,1.39682,3.59033,1.15094,0.02613,0.4,0.13835,0.07964,2.59835,3.88563,2.55957,0.00101,0.00101,0.00101
12,43.2497,1.33231,3.2947,1.09706,0.11521,0.38462,0.23658,0.149,2.19052,3.66488,1.89903,0.000911,0.000911,0.000911
13,46.376,1.43224,3.28113,1.18385,0.10727,0.47692,0.24113,0.12327,2.17259,3.51857,1.84715,0.000812,0.000812,0.000812
14,49.4716,1.33327,3.22555,1.11447,0.11411,0.58462,0.32862,0.17829,2.2353,3.42544,1.80722,0.000713,0.000713,0.000713
15,52.65,1.23441,3.00103,1.05124,0.18803,0.33846,0.22859,0.12541,2.26914,3.80515,1.96539,0.000614,0.000614,0.000614
16,55.6917,1.08797,2.88893,0.91726,0.38636,0.26154,0.17565,0.08461,2.20652,4.00912,1.82849,0.000515,0.000515,0.000515
17,58.7125,1.34989,3.1958,1.13703,0.14091,0.47692,0.26451,0.14107,2.06772,3.48278,1.73018,0.000416,0.000416,0.000416
18,61.8232,1.20954,2.94243,1.02903,0.09453,0.58462,0.25024,0.13762,2.02113,3.27491,1.74616,0.000317,0.000317,0.000317
19,64.8933,1.19241,2.8468,0.99687,0.16525,0.6,0.3343,0.18471,2.00634,3.44477,1.71506,0.000218,0.000218,0.000218
20,68.1018,1.16142,2.81048,0.94412,0.19024,0.6,0.34571,0.20759,1.98202,3.34989,1.70186,0.000119,0.000119,0.000119
