epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7706,2.11612,3.72223,1.81878,0.00676,0.52308,0.00714,0.0025,1.53767,3.38113,1.65377,0.0001,0.0001,0.0001
2,12.8134,2.12032,3.61959,1.73397,0.00749,0.56923,0.01521,0.00562,1.6051,3.37245,1.54604,0.00021274,0.00021274,0.00021274
3,13.7893,1.82153,3.25019,1.50923,0.00723,0.66154,0.05121,0.03267,1.5862,3.258,1.46789,0.00031756,0.00031756,0.00031756
4,14.8242,1.68936,2.79764,1.43956,0.00676,0.73846,0.05785,0.02542,1.50201,3.22577,1.4006,0.00041446,0.00041446,0.00041446
5,15.7411,1.55931,2.51327,1.30539,0.00535,0.76923,0.05789,0.02882,1.60601,3.13701,1.46393,0.00050344,0.00050344,0.00050344
6,16.6824,1.6176,2.33521,1.36508,0.00475,0.87692,0.07156,0.03031,1.49975,2.95507,1.35983,0.0005845,0.0005845,0.0005845
7,17.5954,1.57853,2.33151,1.29112,0.00432,0.90769,0.24078,0.11468,1.70538,2.8299,1.41129,0.00065764,0.00065764,0.00065764
8,18.6045,1.46813,2.12438,1.21336,0.00431,0.90769,0.27896,0.15942,1.81843,2.84364,1.52627,0.00072286,0.00072286,0.00072286
9,19.5353,1.61275,2.18861,1.27718,0.00391,0.83077,0.0652,0.02863,1.60642,2.94054,1.44237,0.00078016,0.00078016,0.00078016
10,20.4317,1.37947,1.97081,1.15774,0.39265,0.18908,0.22945,0.10161,1.71781,2.56324,1.54968,0.00082954,0.00082954,0.00082954
11,21.3257,1.46542,2.13903,1.27527,0.41672,0.2,0.20702,0.11647,1.72859,2.59474,1.61626,0.000871,0.000871,0.000871
12,22.2362,1.36054,1.88468,1.26332,0.36118,0.2,0.2375,0.11395,1.86253,2.58647,1.73823,0.00090454,0.00090454,0.00090454
13,23.1141,1.47978,1.92677,1.26936,0.35858,0.29242,0.19262,0.0922,1.79473,2.53647,1.59658,0.00093016,0.00093016,0.00093016
14,24.0023,1.34197,1.74205,1.23939,0.53372,0.24615,0.26103,0.12466,1.71681,2.36714,1.60467,0.00094786,0.00094786,0.00094786
15,24.9659,1.50699,1.81949,1.27372,0.29102,0.35385,0.24467,0.09161,1.73409,2.3929,1.56996,0.00095764,0.00095764,0.00095764
16,25.8513,1.57042,2.37562,1.36951,0.83257,0.4,0.49698,0.22892,1.77619,2.08194,1.54994,0.0009595,0.0009595,0.0009595
17,26.7364,1.49505,1.77437,1.28034,0.69183,0.33846,0.42861,0.23548,1.70332,2.1345,1.50642,0.000944,0.000944,0.000944
18,27.7313,1.29523,1.68849,1.14963,0.56564,0.30063,0.30233,0.1869,1.69869,2.31164,1.58929,0.000878,0.000878,0.000878
19,28.6391,1.62621,1.89187,1.33282,0.45984,0.30769,0.25703,0.17005,1.6775,2.35814,1.58717,0.000812,0.000812,0.000812
20,29.5341,1.40215,1.69221,1.26811,0.51726,0.30769,0.31099,0.19278,1.63404,2.17818,1.50066,0.000746,0.000746,0.000746
21,31.8432,1.17646,1.67502,1.17,0.55228,0.35385,0.36797,0.20772,1.63658,2.10369,1.50214,0.00068,0.00068,0.00068
22,33.1556,1.15365,1.80027,1.15738,0.59861,0.34425,0.37023,0.21241,1.63676,2.00447,1.48853,0.000614,0.000614,0.000614
23,34.2394,1.23721,1.56784,1.1607,0.60372,0.33846,0.35699,0.20444,1.60874,2.04604,1.4849,0.000548,0.000548,0.000548
24,35.1343,1.24827,1.61984,1.11862,0.62549,0.35385,0.37095,0.19558,1.53768,2.05683,1.43173,0.000482,0.000482,0.000482
25,36.0273,1.14597,1.55916,1.08057,0.66605,0.38462,0.40706,0.21584,1.51375,1.96291,1.40182,0.000416,0.000416,0.000416
26,37.0011,1.21356,1.46603,1.10257,0.63807,0.46154,0.45972,0.27159,1.48209,1.81152,1.34695,0.00035,0.00035,0.00035
27,37.971,1.14284,1.46195,1.10361,0.62649,0.46154,0.49503,0.28369,1.4692,1.7362,1.33299,0.000284,0.000284,0.000284
28,39.1896,1.03602,1.39538,1.02167,0.58224,0.41538,0.46034,0.2777,1.39881,1.7476,1.29949,0.000218,0.000218,0.000218
29,40.0955,1.14028,1.4073,1.10741,0.58379,0.41538,0.4653,0.28372,1.41822,1.76415,1.31794,0.000152,0.000152,0.000152
30,41.0587,1.11706,1.36029,1.07107,0.51017,0.43077,0.47635,0.28565,1.43283,1.74585,1.34208,8.6e-05,8.6e-05,8.6e-05
