epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.78575,1.28054,1.99679,1.58756,0.00578,0.35385,0.00233,0.00061,3.06811,9.49274,3.11043,0.000651515,0.000651515,0.000651515
2,13.293,0.48346,0.83993,1.06324,0.05405,0.12308,0.02331,0.00894,2.19633,8.62955,2.46327,0.00125293,0.00125293,0.00125293
3,16.6974,0.36945,0.71636,0.9982,0.0051,0.52308,0.0052,0.00186,2.4478,7.25219,2.89786,0.00178835,0.00178835,0.00178835
4,20.0972,0.3436,0.68241,0.98531,0.08016,0.12308,0.03189,0.01308,2.18962,5.40085,2.50598,0.001703,0.001703,0.001703
5,23.3521,0.31549,0.62013,0.97218,0.02124,0.01538,0.02182,0.0127,2.3564,5.83746,2.64413,0.001604,0.001604,0.001604
6,26.5458,0.28596,0.58515,0.95795,0.02993,0.02191,0.05076,0.02038,2.47986,6.22249,2.77642,0.001505,0.001505,0.001505
7,29.8697,0.27417,0.56252,0.94515,0.02104,0.01522,0.01778,0.00756,2.43119,5.84112,2.46746,0.001406,0.001406,0.001406
8,33.209,0.26468,0.56447,0.94092,0.14653,0.12308,0.05191,0.02113,2.31786,5.43136,2.46946,0.001307,0.001307,0.001307
9,36.5743,0.25102,0.54744,0.94254,0.00615,0.76923,0.03342,0.01292,2.14249,5.36941,2.37296,0.001208,0.001208,0.001208
10,39.9016,0.25852,0.54839,0.9487,0.00622,0.52308,0.02643,0.00877,2.34841,5.8186,2.60561,0.001109,0.001109,0.001109
11,44.3107,0.25358,0.74175,0.97062,0.07375,0.05641,0.07711,0.02717,2.22809,4.95851,2.68892,0.00101,0.00101,0.00101
12,47.5773,0.24273,0.55609,0.9689,0.13634,0.11178,0.13244,0.03786,2.36995,5.1452,2.85511,0.000911,0.000911,0.000911
13,50.9035,0.23728,0.52085,0.97739,0.07347,0.05619,0.09596,0.04177,2.20287,5.50268,2.55922,0.000812,0.000812,0.000812
14,54.2631,0.21894,0.50845,0.94356,0.03387,0.02489,0.15087,0.05172,2.07363,5.31543,2.48358,0.000713,0.000713,0.000713
15,57.8759,0.21949,0.51621,0.96205,0.04729,0.03519,0.18559,0.06636,2.06402,5.79001,2.40628,0.000614,0.000614,0.000614
16,61.1439,0.18087,0.47523,0.96196,0.14435,0.11944,0.14944,0.0538,2.02483,5.05774,2.28814,0.000515,0.000515,0.000515
17,64.4401,0.18921,0.47072,0.97449,0.174,0.15234,0.16403,0.0628,2.05673,5.63931,2.3481,0.000416,0.000416,0.000416
18,67.7983,0.17055,0.45141,0.95005,0.30073,0.50947,0.20477,0.0789,1.91918,5.13461,2.21552,0.000317,0.000317,0.000317
19,71.0715,0.16805,0.45071,0.95373,0.18071,0.29231,0.13916,0.06139,1.87371,5.17308,2.20023,0.000218,0.000218,0.000218
20,74.3627,0.16103,0.44297,0.94229,0.08974,0.07692,0.20785,0.07913,1.85401,4.90121,2.19347,0.000119,0.000119,0.000119
